positive  	UNI_fireside:1 UNI_cafe:1 UNI_wonderful:1 UNI_homestyle:1 UNI_cooking:1 UNI_great:1 UNI_service:1 UNI_home:1 UNI_like:1 UNI_atmosphere:1 BIGRAM_fireside_cafe:1 BIGRAM_cafe_wonderful:1 BIGRAM_wonderful_homestyle:1 BIGRAM_homestyle_cooking:1 BIGRAM_cooking_great:1 BIGRAM_great_service:1 BIGRAM_service_home:1 BIGRAM_home_like:1 BIGRAM_like_atmosphere:1 
positive  	UNI_one:1 UNI_fantastic:1 UNI_restaurants:1 UNI_'ve:1 UNI_ever:1 UNI_highly:1 UNI_recommended:1 UNI_special:1 UNI_occasion:1 BIGRAM_one_fantastic:1 BIGRAM_fantastic_restaurants:1 BIGRAM_restaurants_'ve:1 BIGRAM_'ve_ever:1 BIGRAM_ever_highly:1 BIGRAM_highly_recommended:1 BIGRAM_recommended_special:1 BIGRAM_special_occasion:1 
positive  	UNI_food:1 UNI_great:1 UNI_good:3 UNI_real:1 UNI_cantonese:1 UNI_style:1 UNI_meal:1 UNI_bay:1 UNI_area:1 UNI_long:1 UNI_time:1 UNI_place:1 UNI_new:1 UNI_clean:1 UNI_services:1 BIGRAM_food_great:1 BIGRAM_great_good:1 BIGRAM_good_real:1 BIGRAM_real_cantonese:1 BIGRAM_cantonese_style:1 BIGRAM_style_meal:1 BIGRAM_meal_bay:1 BIGRAM_bay_area:1 BIGRAM_area_long:1 BIGRAM_long_time:1 BIGRAM_time_place:1 BIGRAM_place_new:1 BIGRAM_new_clean:1 BIGRAM_clean_services:1 BIGRAM_services_good:1 
positive  	UNI_excellent:1 UNI_always:1 UNI_best:1 UNI_food:1 UNI_area:1 BIGRAM_excellent_always:1 BIGRAM_always_best:1 BIGRAM_best_food:1 BIGRAM_food_area:1 
positive  	UNI_experience:1 UNI_exceptional:1 UNI_sushiya:3 UNI_hip:1 UNI_ambiance:1 UNI_food:1 UNI_great:3 UNI_would:1 UNI_recommend:1 UNI_anyone:1 UNI_looking:1 UNI_something:1 UNI_different:1 UNI_also:1 UNI_d.j:1 UNI_staff:1 UNI_member:1 UNI_less:1 UNI_good-looking:1 BIGRAM_experience_exceptional:1 BIGRAM_exceptional_sushiya:1 BIGRAM_sushiya_hip:1 BIGRAM_hip_ambiance:1 BIGRAM_ambiance_food:1 BIGRAM_food_great:1 BIGRAM_great_would:1 BIGRAM_would_recommend:1 BIGRAM_recommend_anyone:1 BIGRAM_anyone_looking:1 BIGRAM_looking_something:1 BIGRAM_something_different:1 BIGRAM_different_sushiya:1 BIGRAM_sushiya_also:1 BIGRAM_also_great:1 BIGRAM_great_d.j:1 BIGRAM_d.j_staff:1 BIGRAM_staff_member:1 BIGRAM_member_less:1 BIGRAM_less_good-looking:1 
positive  	UNI_teaspace:3 UNI_small:3 UNI_wonderful:1 UNI_space:3 UNI_eclectic:1 UNI_artistic:1 UNI_atmosphere:1 UNI_since:1 UNI_discovered:1 UNI_december:1 UNI_2000:1 UNI_'ve:3 UNI_quite:1 UNI_times:1 UNI_tea:3 UNI_focus:1 UNI_dozens:1 UNI_varieties:1 UNI_hot:1 UNI_bubble:1 UNI_teas:1 UNI_addition:1 UNI_limited:1 UNI_selection:1 UNI_saki:1 UNI_beer:1 UNI_menu:1 UNI_n't:1 UNI_large:1 UNI_food:1 UNI_always:1 UNI_delicious:1 UNI_highlights:1 UNI_salmon:3 UNI_tofu:1 UNI_satays:1 UNI_served:3 UNI_rice:1 UNI_sesame:1 UNI_green:1 UNI_beans:1 UNI_sure:1 UNI_ask:1 UNI_specials:1 UNI_two:1 UNI_marinated:1 UNI_beef:1 UNI_satay:1 UNI_broiled:1 UNI_filet:1 UNI_wasabi:1 UNI_mashed:1 UNI_potatoes:1 UNI_sauteed:1 UNI_vegetables:1 UNI_might:1 UNI_wait:3 UNI_worth:1 UNI_spend:1 UNI_time:1 UNI_exploring:1 UNI_various:3 UNI_art:3 UNI_installations:1 UNI_line:1 UNI_walls:1 UNI_ceiling:1 UNI_take:1 UNI_close:1 UNI_look:1 UNI_light:1 UNI_fixtures:1 UNI_'ll:1 UNI_find:1 UNI_tiny:1 UNI_printed:1 UNI_messages:1 UNI_enjoy:1 UNI_music:1 UNI_played:1 UNI_late:3 UNI_night:3 UNI_djs:1 UNI_open:1 UNI_seven:1 UNI_days:1 UNI_week:1 UNI_beginning:1 UNI_3pm:1 UNI_staying:1 BIGRAM_teaspace_small:1 BIGRAM_small_wonderful:1 BIGRAM_wonderful_space:1 BIGRAM_space_eclectic:1 BIGRAM_eclectic_artistic:1 BIGRAM_artistic_atmosphere:1 BIGRAM_atmosphere_since:1 BIGRAM_since_discovered:1 BIGRAM_discovered_december:1 BIGRAM_december_2000:1 BIGRAM_2000_'ve:1 BIGRAM_'ve_quite:1 BIGRAM_quite_times:1 BIGRAM_times_tea:1 BIGRAM_tea_focus:1 BIGRAM_focus_dozens:1 BIGRAM_dozens_varieties:1 BIGRAM_varieties_hot:1 BIGRAM_hot_tea:1 BIGRAM_tea_bubble:1 BIGRAM_bubble_teas:1 BIGRAM_teas_addition:1 BIGRAM_addition_limited:1 BIGRAM_limited_selection:1 BIGRAM_selection_saki:1 BIGRAM_saki_beer:1 BIGRAM_beer_menu:1 BIGRAM_menu_n't:1 BIGRAM_n't_large:1 BIGRAM_large_food:1 BIGRAM_food_always:1 BIGRAM_always_delicious:1 BIGRAM_delicious_highlights:1 BIGRAM_highlights_salmon:1 BIGRAM_salmon_tofu:1 BIGRAM_tofu_satays:1 BIGRAM_satays_served:1 BIGRAM_served_rice:1 BIGRAM_rice_sesame:1 BIGRAM_sesame_green:1 BIGRAM_green_beans:1 BIGRAM_beans_sure:1 BIGRAM_sure_ask:1 BIGRAM_ask_specials:1 BIGRAM_specials_'ve:1 BIGRAM_'ve_two:1 BIGRAM_two_marinated:1 BIGRAM_marinated_beef:1 BIGRAM_beef_satay:1 BIGRAM_satay_broiled:1 BIGRAM_broiled_salmon:1 BIGRAM_salmon_filet:1 BIGRAM_filet_served:1 BIGRAM_served_wasabi:1 BIGRAM_wasabi_mashed:1 BIGRAM_mashed_potatoes:1 BIGRAM_potatoes_sauteed:1 BIGRAM_sauteed_vegetables:1 BIGRAM_vegetables_small:1 BIGRAM_small_space:1 BIGRAM_space_might:1 BIGRAM_might_wait:1 BIGRAM_wait_wait:1 BIGRAM_wait_worth:1 BIGRAM_worth_spend:1 BIGRAM_spend_time:1 BIGRAM_time_exploring:1 BIGRAM_exploring_various:1 BIGRAM_various_art:1 BIGRAM_art_art:1 BIGRAM_art_installations:1 BIGRAM_installations_line:1 BIGRAM_line_walls:1 BIGRAM_walls_ceiling:1 BIGRAM_ceiling_take:1 BIGRAM_take_close:1 BIGRAM_close_look:1 BIGRAM_look_light:1 BIGRAM_light_fixtures:1 BIGRAM_fixtures_'ll:1 BIGRAM_'ll_find:1 BIGRAM_find_tiny:1 BIGRAM_tiny_printed:1 BIGRAM_printed_messages:1 BIGRAM_messages_enjoy:1 BIGRAM_enjoy_music:1 BIGRAM_music_played:1 BIGRAM_played_late:1 BIGRAM_late_night:3 BIGRAM_night_various:1 BIGRAM_various_djs:1 BIGRAM_djs_teaspace:1 BIGRAM_teaspace_open:1 BIGRAM_open_seven:1 BIGRAM_seven_days:1 BIGRAM_days_week:1 BIGRAM_week_beginning:1 BIGRAM_beginning_3pm:1 BIGRAM_3pm_staying:1 BIGRAM_staying_late:1 
positive  	UNI_food:3 UNI_wonderful:3 UNI_buffet:1 UNI_180:1 UNI_items:1 UNI_n't:1 UNI_happy:1 UNI_'s:1 UNI_fault:1 UNI_crab:1 UNI_rangoon:1 UNI_plenty:1 UNI_chicken:1 UNI_beef:1 UNI_pork:1 UNI_dishes:1 UNI_satisfy:1 UNI_sushi:1 UNI_bar:1 BIGRAM_food_wonderful:1 BIGRAM_wonderful_buffet:1 BIGRAM_buffet_180:1 BIGRAM_180_items:1 BIGRAM_items_n't:1 BIGRAM_n't_happy:1 BIGRAM_happy_food:1 BIGRAM_food_'s:1 BIGRAM_'s_fault:1 BIGRAM_fault_wonderful:1 BIGRAM_wonderful_crab:1 BIGRAM_crab_rangoon:1 BIGRAM_rangoon_plenty:1 BIGRAM_plenty_chicken:1 BIGRAM_chicken_beef:1 BIGRAM_beef_pork:1 BIGRAM_pork_dishes:1 BIGRAM_dishes_satisfy:1 BIGRAM_satisfy_sushi:1 BIGRAM_sushi_bar:1 
positive  	UNI_great:3 UNI_friendly:1 UNI_service:1 UNI_baked:1 UNI_goods:1 UNI_freshly:3 UNI_home:1 UNI_made:3 UNI_offer:1 UNI_coffee:3 UNI_conveniently:1 UNI_located:1 UNI_right:1 UNI_across:1 UNI_main:1 UNI_ski:3 UNI_lift:1 UNI_red:1 UNI_river:1 UNI_area:1 UNI_looking:1 UNI_forward:1 UNI_returning:1 UNI_season:1 UNI_enjoying:1 UNI_cup:1 UNI_warm:1 UNI_cinnamon:1 UNI_rolls:1 UNI_morning:1 BIGRAM_great_friendly:1 BIGRAM_friendly_service:1 BIGRAM_service_baked:1 BIGRAM_baked_goods:1 BIGRAM_goods_freshly:1 BIGRAM_freshly_home:1 BIGRAM_home_made:1 BIGRAM_made_offer:1 BIGRAM_offer_great:1 BIGRAM_great_coffee:1 BIGRAM_coffee_conveniently:1 BIGRAM_conveniently_located:1 BIGRAM_located_right:1 BIGRAM_right_across:1 BIGRAM_across_main:1 BIGRAM_main_ski:1 BIGRAM_ski_lift:1 BIGRAM_lift_red:1 BIGRAM_red_river:1 BIGRAM_river_ski:1 BIGRAM_ski_area:1 BIGRAM_area_looking:1 BIGRAM_looking_forward:1 BIGRAM_forward_returning:1 BIGRAM_returning_ski:1 BIGRAM_ski_season:1 BIGRAM_season_enjoying:1 BIGRAM_enjoying_great:1 BIGRAM_great_cup:1 BIGRAM_cup_coffee:1 BIGRAM_coffee_freshly:1 BIGRAM_freshly_made:1 BIGRAM_made_warm:1 BIGRAM_warm_cinnamon:1 BIGRAM_cinnamon_rolls:1 BIGRAM_rolls_morning:1 
positive  	UNI_atmosphere:3 UNI_donnato:3 UNI_'s:3 UNI_quite:1 UNI_pleasant:1 UNI_cozy:1 UNI_inviting:1 UNI_tables:1 UNI_beautifully:1 UNI_set:1 UNI_green:1 UNI_red:1 UNI_linen:1 UNI_waitresses:1 UNI_although:1 UNI_young:1 UNI_seem:1 UNI_know:1 UNI_foods:3 UNI_well:1 UNI_food:3 UNI_delicious:3 UNI_savory:3 UNI_perfection:3 UNI_started:1 UNI_ceasar:1 UNI_salad:1 UNI_vinagrette:1 UNI_dressing:1 UNI_tangy:1 UNI_sweet:1 UNI_soft:1 UNI_though:1 UNI_bread:1 UNI_sticks:1 UNI_real:1 UNI_whipped:1 UNI_butter:3 UNI_cajun:1 UNI_chicken:1 UNI_dish:1 UNI_sausages:1 UNI_shrimp:1 UNI_requested:1 UNI_mine:1 UNI_scale:1 UNI_1-10:1 UNI_spicy:3 UNI_4:1 UNI_yet:1 UNI_never:1 UNI_disguised:1 UNI_taste:1 UNI_salmon:1 UNI_done:1 UNI_spices:1 UNI_dishes:1 UNI_bed:1 UNI_fresh:1 UNI_made:1 UNI_fettucini:1 UNI_understanding:1 UNI_donnatos:1 UNI_chef:3 UNI_formerly:1 UNI_franki'es:1 UNI_place:3 UNI_ribs:3 UNI_turned:1 UNI_restaurant:1 UNI_number:3 UNI_one:1 UNI_dining:1 UNI_virginia:1 UNI_beach:1 UNI_complaint:1 UNI_prices:3 UNI_althought:1 UNI_ambiance:1 UNI_5:1 UNI_plus:1 UNI_book:1 UNI_feel:1 UNI_high:1 UNI_otherwise:1 UNI_thumps:1 UNI_selection:1 BIGRAM_atmosphere_donnato:1 BIGRAM_donnato_'s:3 BIGRAM_'s_quite:1 BIGRAM_quite_pleasant:1 BIGRAM_pleasant_'s:1 BIGRAM_'s_cozy:1 BIGRAM_cozy_inviting:1 BIGRAM_inviting_tables:1 BIGRAM_tables_beautifully:1 BIGRAM_beautifully_set:1 BIGRAM_set_green:1 BIGRAM_green_red:1 BIGRAM_red_linen:1 BIGRAM_linen_waitresses:1 BIGRAM_waitresses_although:1 BIGRAM_although_young:1 BIGRAM_young_seem:1 BIGRAM_seem_know:1 BIGRAM_know_foods:1 BIGRAM_foods_well:1 BIGRAM_well_food:1 BIGRAM_food_delicious:1 BIGRAM_delicious_savory:1 BIGRAM_savory_perfection:1 BIGRAM_perfection_started:1 BIGRAM_started_ceasar:1 BIGRAM_ceasar_salad:1 BIGRAM_salad_vinagrette:1 BIGRAM_vinagrette_dressing:1 BIGRAM_dressing_tangy:1 BIGRAM_tangy_sweet:1 BIGRAM_sweet_soft:1 BIGRAM_soft_though:1 BIGRAM_though_delicious:1 BIGRAM_delicious_bread:1 BIGRAM_bread_sticks:1 BIGRAM_sticks_real:1 BIGRAM_real_whipped:1 BIGRAM_whipped_butter:1 BIGRAM_butter_delicious:1 BIGRAM_delicious_cajun:1 BIGRAM_cajun_chicken:1 BIGRAM_chicken_dish:1 BIGRAM_dish_sausages:1 BIGRAM_sausages_shrimp:1 BIGRAM_shrimp_requested:1 BIGRAM_requested_mine:1 BIGRAM_mine_scale:1 BIGRAM_scale_1-10:1 BIGRAM_1-10_spicy:1 BIGRAM_spicy_4:1 BIGRAM_4_spicy:1 BIGRAM_spicy_yet:1 BIGRAM_yet_never:1 BIGRAM_never_disguised:1 BIGRAM_disguised_taste:1 BIGRAM_taste_food:1 BIGRAM_food_salmon:1 BIGRAM_salmon_done:1 BIGRAM_done_perfection:1 BIGRAM_perfection_savory:1 BIGRAM_savory_spices:1 BIGRAM_spices_butter:1 BIGRAM_butter_dishes:1 BIGRAM_dishes_bed:1 BIGRAM_bed_fresh:1 BIGRAM_fresh_made:1 BIGRAM_made_fettucini:1 BIGRAM_fettucini_understanding:1 BIGRAM_understanding_donnatos:1 BIGRAM_donnatos_chef:1 BIGRAM_chef_formerly:1 BIGRAM_formerly_franki'es:1 BIGRAM_franki'es_place:1 BIGRAM_place_ribs:1 BIGRAM_ribs_turned:1 BIGRAM_turned_restaurant:1 BIGRAM_restaurant_number:1 BIGRAM_number_one:1 BIGRAM_one_dining:1 BIGRAM_dining_ribs:1 BIGRAM_ribs_place:1 BIGRAM_place_virginia:1 BIGRAM_virginia_beach:1 BIGRAM_beach_complaint:1 BIGRAM_complaint_donnato:1 BIGRAM_'s_prices:1 BIGRAM_prices_althought:1 BIGRAM_althought_atmosphere:1 BIGRAM_atmosphere_ambiance:1 BIGRAM_ambiance_food:1 BIGRAM_food_number:1 BIGRAM_number_5:1 BIGRAM_5_plus:1 BIGRAM_plus_book:1 BIGRAM_book_feel:1 BIGRAM_feel_prices:1 BIGRAM_prices_high:1 BIGRAM_high_otherwise:1 BIGRAM_otherwise_thumps:1 BIGRAM_thumps_donnato:1 BIGRAM_'s_selection:1 BIGRAM_selection_foods:1 BIGRAM_foods_chef:1 
positive  	UNI_almost:1 UNI_hate:3 UNI_post:1 UNI_review:1 UNI_latigo:1 UNI_kid:1 UNI_one:1 UNI_favorite:1 UNI_restaurants:1 UNI_'d:1 UNI_get:3 UNI_busier:1 UNI_yes:1 UNI_atmosphere:1 UNI_loungesque:1 UNI_food:1 UNI_margi:3 UNI_'s:3 UNI_service:3 UNI_make:1 UNI_favorites:1 UNI_chili:1 UNI_colorado:1 UNI_burrito:1 UNI_chicken:1 UNI_chimi:1 UNI_cheese:1 UNI_enchiladas:1 UNI_potent:1 UNI_try:1 UNI_limit:1 UNI_2:1 UNI_always:1 UNI_find:1 UNI_exceptional:1 UNI_even:1 UNI_tipped:1 UNI_busboys:1 UNI_separately:1 UNI_wonderful:1 UNI_attention:1 UNI_take:1 UNI_reservations:1 UNI_patient:1 UNI_people:1 UNI_suggest:1 UNI_going:3 UNI_early:1 UNI_5pm:1 UNI_usually:1 UNI_seated:3 UNI_right:1 UNI_away:1 UNI_adult:1 UNI_meal:1 UNI_ask:1 UNI_booth:1 UNI_since:1 UNI_larger:1 UNI_parties:1 UNI_families:1 UNI_back:1 UNI_room:1 UNI_little:1 UNI_loud:1 UNI_jovial:1 UNI_also:1 UNI_serve:1 UNI_entire:1 UNI_menu:1 UNI_bar:1 UNI_great:1 UNI_watching:1 UNI_sports:1 UNI_tube:1 UNI_adios:1 BIGRAM_almost_hate:1 BIGRAM_hate_post:1 BIGRAM_post_review:1 BIGRAM_review_latigo:1 BIGRAM_latigo_kid:1 BIGRAM_kid_one:1 BIGRAM_one_favorite:1 BIGRAM_favorite_restaurants:1 BIGRAM_restaurants_'d:1 BIGRAM_'d_hate:1 BIGRAM_hate_get:1 BIGRAM_get_busier:1 BIGRAM_busier_yes:1 BIGRAM_yes_atmosphere:1 BIGRAM_atmosphere_loungesque:1 BIGRAM_loungesque_food:1 BIGRAM_food_margi:1 BIGRAM_margi_'s:3 BIGRAM_'s_service:1 BIGRAM_service_make:1 BIGRAM_make_favorites:1 BIGRAM_favorites_chili:1 BIGRAM_chili_colorado:1 BIGRAM_colorado_burrito:1 BIGRAM_burrito_chicken:1 BIGRAM_chicken_chimi:1 BIGRAM_chimi_'s:1 BIGRAM_'s_cheese:1 BIGRAM_cheese_enchiladas:1 BIGRAM_enchiladas_margi:1 BIGRAM_'s_potent:1 BIGRAM_potent_try:1 BIGRAM_try_limit:1 BIGRAM_limit_2:1 BIGRAM_2_always:1 BIGRAM_always_find:1 BIGRAM_find_service:1 BIGRAM_service_exceptional:1 BIGRAM_exceptional_even:1 BIGRAM_even_tipped:1 BIGRAM_tipped_busboys:1 BIGRAM_busboys_separately:1 BIGRAM_separately_wonderful:1 BIGRAM_wonderful_attention:1 BIGRAM_attention_take:1 BIGRAM_take_reservations:1 BIGRAM_reservations_patient:1 BIGRAM_patient_people:1 BIGRAM_people_suggest:1 BIGRAM_suggest_going:1 BIGRAM_going_early:1 BIGRAM_early_5pm:1 BIGRAM_5pm_usually:1 BIGRAM_usually_seated:1 BIGRAM_seated_right:1 BIGRAM_right_away:1 BIGRAM_away_going:1 BIGRAM_going_adult:1 BIGRAM_adult_meal:1 BIGRAM_meal_ask:1 BIGRAM_ask_booth:1 BIGRAM_booth_since:1 BIGRAM_since_larger:1 BIGRAM_larger_parties:1 BIGRAM_parties_families:1 BIGRAM_families_seated:1 BIGRAM_seated_back:1 BIGRAM_back_room:1 BIGRAM_room_get:1 BIGRAM_get_little:1 BIGRAM_little_loud:1 BIGRAM_loud_jovial:1 BIGRAM_jovial_also:1 BIGRAM_also_serve:1 BIGRAM_serve_entire:1 BIGRAM_entire_menu:1 BIGRAM_menu_bar:1 BIGRAM_bar_great:1 BIGRAM_great_watching:1 BIGRAM_watching_sports:1 BIGRAM_sports_tube:1 BIGRAM_tube_adios:1 
positive  	UNI_food:1 UNI_service:1 UNI_like:1 UNI_relaxing:1 UNI_enjoyable:1 UNI_rush:1 BIGRAM_food_service:1 BIGRAM_service_like:1 BIGRAM_like_relaxing:1 BIGRAM_relaxing_enjoyable:1 BIGRAM_enjoyable_rush:1 
positive  	UNI_excellent:1 UNI_experience:1 UNI_atmosphere:1 UNI_fun:3 UNI_comfortable:1 UNI_crowded:1 UNI_loud:1 UNI_time:1 UNI_n't:1 UNI_mind:1 UNI_type:1 UNI_thing:1 UNI_good:3 UNI_kids:1 UNI_menu:1 UNI_drinks:1 UNI_adults:1 UNI_seafood:1 UNI_hot:1 UNI_try:1 UNI_hushpuppies:1 UNI_world:1 UNI_'re:3 UNI_still:1 UNI_trying:1 UNI_figure:1 UNI_make:1 UNI_like:1 UNI_nothing:1 UNI_fancy:1 UNI_whole:1 UNI_lot:1 UNI_cool:1 UNI_gift:1 UNI_shop:1 UNI_stop:1 UNI_navy:1 UNI_pier:1 BIGRAM_excellent_experience:1 BIGRAM_experience_atmosphere:1 BIGRAM_atmosphere_fun:1 BIGRAM_fun_comfortable:1 BIGRAM_comfortable_crowded:1 BIGRAM_crowded_loud:1 BIGRAM_loud_fun:1 BIGRAM_fun_time:1 BIGRAM_time_n't:1 BIGRAM_n't_mind:1 BIGRAM_mind_type:1 BIGRAM_type_thing:1 BIGRAM_thing_good:1 BIGRAM_good_kids:1 BIGRAM_kids_menu:1 BIGRAM_menu_good:1 BIGRAM_good_drinks:1 BIGRAM_drinks_adults:1 BIGRAM_adults_seafood:1 BIGRAM_seafood_good:1 BIGRAM_good_hot:1 BIGRAM_hot_try:1 BIGRAM_try_hushpuppies:1 BIGRAM_hushpuppies_world:1 BIGRAM_world_'re:1 BIGRAM_'re_still:1 BIGRAM_still_trying:1 BIGRAM_trying_figure:1 BIGRAM_figure_make:1 BIGRAM_make_like:1 BIGRAM_like_nothing:1 BIGRAM_nothing_fancy:1 BIGRAM_fancy_whole:1 BIGRAM_whole_lot:1 BIGRAM_lot_fun:1 BIGRAM_fun_cool:1 BIGRAM_cool_gift:1 BIGRAM_gift_shop:1 BIGRAM_shop_stop:1 BIGRAM_stop_'re:1 BIGRAM_'re_navy:1 BIGRAM_navy_pier:1 
positive  	UNI_place:1 UNI_truly:1 UNI_blast:1 UNI_ate:1 UNI_girlfriends:1 UNI_b-day:1 UNI_best:1 UNI_time:1 UNI_food:3 UNI_awesome:1 UNI_waitress:1 UNI_helpful:1 UNI_professional:1 UNI_amazing:1 UNI_cool:1 UNI_spot:1 UNI_top:1 UNI_leaving:1 UNI_saw:1 UNI_keanu:1 UNI_reeves:1 UNI_eating:1 UNI_outside:1 UNI_took:1 UNI_picture:1 UNI_girl:1 UNI_way:1 UNI_end:1 UNI_evening:1 UNI_highly:1 UNI_recommend:1 UNI_sushiya:1 BIGRAM_place_truly:1 BIGRAM_truly_blast:1 BIGRAM_blast_ate:1 BIGRAM_ate_girlfriends:1 BIGRAM_girlfriends_b-day:1 BIGRAM_b-day_best:1 BIGRAM_best_time:1 BIGRAM_time_food:1 BIGRAM_food_awesome:1 BIGRAM_awesome_waitress:1 BIGRAM_waitress_helpful:1 BIGRAM_helpful_professional:1 BIGRAM_professional_food:1 BIGRAM_food_amazing:1 BIGRAM_amazing_cool:1 BIGRAM_cool_spot:1 BIGRAM_spot_top:1 BIGRAM_top_leaving:1 BIGRAM_leaving_saw:1 BIGRAM_saw_keanu:1 BIGRAM_keanu_reeves:1 BIGRAM_reeves_eating:1 BIGRAM_eating_outside:1 BIGRAM_outside_took:1 BIGRAM_took_picture:1 BIGRAM_picture_girl:1 BIGRAM_girl_way:1 BIGRAM_way_end:1 BIGRAM_end_evening:1 BIGRAM_evening_highly:1 BIGRAM_highly_recommend:1 BIGRAM_recommend_sushiya:1 
positive  	UNI_love:1 UNI_steak:3 UNI_side:1 UNI_get:3 UNI_cattleman:3 UNI_'s:3 UNI_steakhouse:1 UNI_real:1 UNI_good:1 UNI_eating:1 UNI_plenty:1 UNI_surf:1 UNI_turf:1 UNI_t-bone:1 UNI_steaks:1 UNI_name:1 UNI_full:1 UNI_bar:1 UNI_wet:1 UNI_whistle:1 UNI_every:1 UNI_time:1 UNI_heading:1 UNI_back:1 UNI_sacramento:1 UNI_make:1 UNI_point:1 UNI_stop:1 UNI_sometimes:1 UNI_busy:1 UNI_lapse:1 UNI_service:1 UNI_happened:1 UNI_several:1 UNI_occasions:1 UNI_ordered:1 UNI_appetizer:3 UNI_never:3 UNI_made:1 UNI_table:1 UNI_one:1 UNI_occasion:1 UNI_learned:1 UNI_order:1 UNI_main:1 UNI_course:1 UNI_physically:1 UNI_custody:1 BIGRAM_love_steak:1 BIGRAM_steak_side:1 BIGRAM_side_steak:1 BIGRAM_steak_get:1 BIGRAM_get_cattleman:1 BIGRAM_cattleman_'s:3 BIGRAM_'s_steakhouse:1 BIGRAM_steakhouse_real:1 BIGRAM_real_good:1 BIGRAM_good_eating:1 BIGRAM_eating_plenty:1 BIGRAM_plenty_surf:1 BIGRAM_surf_turf:1 BIGRAM_turf_t-bone:1 BIGRAM_t-bone_steaks:1 BIGRAM_steaks_name:1 BIGRAM_name_full:1 BIGRAM_full_bar:1 BIGRAM_bar_wet:1 BIGRAM_wet_whistle:1 BIGRAM_whistle_every:1 BIGRAM_every_time:1 BIGRAM_time_heading:1 BIGRAM_heading_back:1 BIGRAM_back_sacramento:1 BIGRAM_sacramento_make:1 BIGRAM_make_point:1 BIGRAM_point_stop:1 BIGRAM_stop_cattleman:1 BIGRAM_'s_sometimes:1 BIGRAM_sometimes_cattleman:1 BIGRAM_'s_get:1 BIGRAM_get_busy:1 BIGRAM_busy_lapse:1 BIGRAM_lapse_service:1 BIGRAM_service_happened:1 BIGRAM_happened_several:1 BIGRAM_several_occasions:1 BIGRAM_occasions_ordered:1 BIGRAM_ordered_appetizer:1 BIGRAM_appetizer_never:1 BIGRAM_never_made:1 BIGRAM_made_table:1 BIGRAM_table_one:1 BIGRAM_one_occasion:1 BIGRAM_occasion_learned:1 BIGRAM_learned_never:1 BIGRAM_never_order:1 BIGRAM_order_main:1 BIGRAM_main_course:1 BIGRAM_course_physically:1 BIGRAM_physically_appetizer:1 BIGRAM_appetizer_custody:1 
positive  	UNI_pleasant:1 UNI_dining:1 UNI_experience:3 UNI_open:1 UNI_lunch:1 UNI_unfortunately:1 UNI_various:1 UNI_vegetarian:1 UNI_dishes:1 UNI_available:1 UNI_would:1 UNI_win:1 UNI_present:1 UNI_vegetarians:1 UNI_meat-eaters:1 UNI_atmosphere:1 UNI_place:1 UNI_hot:1 UNI_tea:3 UNI_served:1 UNI_miniature:1 UNI_cottage-shaped:1 UNI_teapots:1 UNI_sweet:3 UNI_made:1 UNI_true:1 UNI_delicacy:1 UNI_come:1 UNI_pinehurst/southern:1 UNI_pines:1 UNI_area:1 UNI_want:1 UNI_miss:1 UNI_basil:1 UNI_'s:1 BIGRAM_pleasant_dining:1 BIGRAM_dining_experience:1 BIGRAM_experience_open:1 BIGRAM_open_lunch:1 BIGRAM_lunch_unfortunately:1 BIGRAM_unfortunately_various:1 BIGRAM_various_vegetarian:1 BIGRAM_vegetarian_dishes:1 BIGRAM_dishes_available:1 BIGRAM_available_would:1 BIGRAM_would_win:1 BIGRAM_win_present:1 BIGRAM_present_vegetarians:1 BIGRAM_vegetarians_meat-eaters:1 BIGRAM_meat-eaters_atmosphere:1 BIGRAM_atmosphere_place:1 BIGRAM_place_experience:1 BIGRAM_experience_hot:1 BIGRAM_hot_tea:1 BIGRAM_tea_served:1 BIGRAM_served_miniature:1 BIGRAM_miniature_cottage-shaped:1 BIGRAM_cottage-shaped_teapots:1 BIGRAM_teapots_sweet:1 BIGRAM_sweet_tea:1 BIGRAM_tea_made:1 BIGRAM_made_true:1 BIGRAM_true_delicacy:1 BIGRAM_delicacy_come:1 BIGRAM_come_pinehurst/southern:1 BIGRAM_pinehurst/southern_pines:1 BIGRAM_pines_area:1 BIGRAM_area_want:1 BIGRAM_want_miss:1 BIGRAM_miss_sweet:1 BIGRAM_sweet_basil:1 BIGRAM_basil_'s:1 
